contentid,title,addr1,addr2,mapx,mapy,firstimage
3535757,산전수전,강원특별자치도 강릉시 성덕포남로 56 (입암동),,128.9191644424,37.7601514763,
3536412,산촌식당,강원특별자치도 강릉시 성산면 구산길 83,,128.8282018170,37.7146688545,
3536907,산호갈비,강원특별자치도 강릉시 가작로 264 (포남동),,128.9041488213,37.7700528160,
3536761,삼겹식당 강릉포남점,강원특별자치도 강릉시 강릉대로 337-5 (포남동),102동 107호,128.9037212006,37.7662338052,
3536259,삼교리동치미막국수 남항진점,강원특별자치도 강릉시 공항길127번길 42 (남항진동),,128.9526140382,37.7656292741,
2870175,삼교리동치미막국수 본점,강원특별자치도 강릉시 범일로 364,,128.8820828735,37.7212247000,http://tong.visitkorea.or.kr/cms/resource/69/2870169_image2_1.jpg
2685584,삼교리원조동치미막국수,강원특별자치도 강릉시 주문진읍 신리천로 760,,128.7549199575,37.8810953849,http://tong.visitkorea.or.kr/cms/resource/51/2684851_image2_1.jpg
3537854,삼다도횟집,강원특별자치도 강릉시 사천면 진리해변길 85,,128.8767574667,37.8396442273,
3536329,삼미식당,강원특별자치도 강릉시 주문진읍 시장길 49-4,,128.8273102939,37.8923454912,
3536414,새마을영양탕,강원특별자치도 강릉시 구정면 회산로 101,,128.8489690974,37.7241959344,
3533723,샤브향 강릉교동점,강원특별자치도 강릉시 솔올로5번길 40-1 (교동),,128.8759737744,37.7638446512,
